table_id,row_key,field,source_exact,expected_display,actual_display,match,notes
tab:results-predictive-performance,MIMIC-III|GRU,loss,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.386,0.386,YES,
tab:results-predictive-performance,MIMIC-III|GRU,auroc,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.881,0.881,YES,
tab:results-predictive-performance,MIMIC-III|GRU,auprc,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.840,0.840,YES,
tab:results-predictive-performance,MIMIC-III|GRU,minrp,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.770,0.770,YES,
tab:results-predictive-performance,MIMIC-III|GRU-D,loss,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.404,0.404,YES,
tab:results-predictive-performance,MIMIC-III|GRU-D,auroc,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.884,0.884,YES,
tab:results-predictive-performance,MIMIC-III|GRU-D,auprc,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.841,0.841,YES,
tab:results-predictive-performance,MIMIC-III|GRU-D,minrp,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.773,0.773,YES,
tab:results-predictive-performance,MIMIC-III|SAnD,loss,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.409,0.409,YES,
tab:results-predictive-performance,MIMIC-III|SAnD,auroc,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.880,0.880,YES,
tab:results-predictive-performance,MIMIC-III|SAnD,auprc,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.836,0.836,YES,
tab:results-predictive-performance,MIMIC-III|SAnD,minrp,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.767,0.767,YES,
tab:results-predictive-performance,MIMIC-III|STraTS,loss,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.348,0.348,YES,
tab:results-predictive-performance,MIMIC-III|STraTS,auroc,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.905,0.905,YES,
tab:results-predictive-performance,MIMIC-III|STraTS,auprc,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.869,0.869,YES,
tab:results-predictive-performance,MIMIC-III|STraTS,minrp,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.795,0.795,YES,
tab:results-predictive-performance,MIMIC-III|TCN,loss,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.414,0.414,YES,
tab:results-predictive-performance,MIMIC-III|TCN,auroc,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.867,0.867,YES,
tab:results-predictive-performance,MIMIC-III|TCN,auprc,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.823,0.823,YES,
tab:results-predictive-performance,MIMIC-III|TCN,minrp,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.758,0.758,YES,
tab:results-predictive-performance,PhysioNet 2012|GRU,loss,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.397,0.397,YES,
tab:results-predictive-performance,PhysioNet 2012|GRU,auroc,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.915,0.915,YES,
tab:results-predictive-performance,PhysioNet 2012|GRU,auprc,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.897,0.897,YES,
tab:results-predictive-performance,PhysioNet 2012|GRU,minrp,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.831,0.831,YES,
tab:results-predictive-performance,PhysioNet 2012|GRU-D,loss,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.331,0.331,YES,
tab:results-predictive-performance,PhysioNet 2012|GRU-D,auroc,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.918,0.918,YES,
tab:results-predictive-performance,PhysioNet 2012|GRU-D,auprc,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.905,0.905,YES,
tab:results-predictive-performance,PhysioNet 2012|GRU-D,minrp,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.835,0.835,YES,
tab:results-predictive-performance,PhysioNet 2012|SAnD,loss,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.436,0.436,YES,
tab:results-predictive-performance,PhysioNet 2012|SAnD,auroc,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.914,0.914,YES,
tab:results-predictive-performance,PhysioNet 2012|SAnD,auprc,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.886,0.886,YES,
tab:results-predictive-performance,PhysioNet 2012|SAnD,minrp,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.820,0.820,YES,
tab:results-predictive-performance,PhysioNet 2012|STraTS,loss,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.341,0.341,YES,
tab:results-predictive-performance,PhysioNet 2012|STraTS,auroc,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.915,0.915,YES,
tab:results-predictive-performance,PhysioNet 2012|STraTS,auprc,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.877,0.877,YES,
tab:results-predictive-performance,PhysioNet 2012|STraTS,minrp,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.818,0.818,YES,
tab:results-predictive-performance,PhysioNet 2012|TCN,loss,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.477,0.477,YES,
tab:results-predictive-performance,PhysioNet 2012|TCN,auroc,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.899,0.899,YES,
tab:results-predictive-performance,PhysioNet 2012|TCN,auprc,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.875,0.875,YES,
tab:results-predictive-performance,PhysioNet 2012|TCN,minrp,checked_predictive_metrics.csv:test PRIMARY_MAIN_TEXT,0.811,0.811,YES,
