dataset,tagger,predictor,source_csv,n_patients,deaths,survivors,mortality_rate,n_latent_features,validation_auroc,validation_auprc,validation_accuracy,validation_f1,test_auroc,test_auprc,test_accuracy,test_f1,details_txt,log_path
mimic,gru,logistic_regression,/truenas/home/kenzikob/CliniCause/mimic-voters/gru.csv,44812,5150,39662,0.11492457377488173,10,0.8076955089131403,0.32201862636048106,0.7663467975898237,0.40947546531302875,0.812374174316754,0.32098466687016697,0.7744310575635877,0.434247341913822,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0001_gru_mortality_results.txt,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0001_gru.log
mimic,gru,mlp,/truenas/home/kenzikob/CliniCause/mimic-voters/gru.csv,44812,5150,39662,0.11492457377488173,10,0.8176245660933468,0.33170868262898084,0.7670162910064717,0.41216216216216217,0.8198533532712842,0.32942816934354285,0.7692994199018296,0.4255555555555556,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0001_gru_mortality_results.txt,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0001_gru.log
mimic,grud,logistic_regression,/truenas/home/kenzikob/CliniCause/mimic-voters/grud.csv,44812,5150,39662,0.11492457377488173,10,0.8000795597530466,0.34075124888101155,0.7828609685338094,0.4120845921450151,0.796986546777908,0.33177479704891444,0.7797858099062919,0.4149377593360996,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0002_grud_mortality_results.txt,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0002_grud.log
mimic,grud,mlp,/truenas/home/kenzikob/CliniCause/mimic-voters/grud.csv,44812,5150,39662,0.11492457377488173,10,0.8086328452036484,0.35478364688691644,0.7685784423119839,0.40504876649454963,0.8058230400806655,0.34477879341297174,0.7632753235162874,0.40560224089635855,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0002_grud_mortality_results.txt,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0002_grud.log
mimic,latent_tags_majority_vote,logistic_regression,/truenas/home/kenzikob/CliniCause/mimic-voters/latent_tags_majority_vote.csv,44812,5150,39662,0.11492457377488173,10,0.8249665849037204,0.36565794598322715,0.7984824815889311,0.4443076923076923,0.824166362784232,0.36268054485265355,0.8000892458723784,0.4556500607533414,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0003_latent_tags_majority_vote_mortality_results.txt,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0003_latent_tags_majority_vote.log
mimic,latent_tags_majority_vote,mlp,/truenas/home/kenzikob/CliniCause/mimic-voters/latent_tags_majority_vote.csv,44812,5150,39662,0.11492457377488173,10,0.8323531571758,0.395728661841956,0.8194599419772373,0.46245847176079735,0.8319622321041799,0.3748817363900391,0.822623828647925,0.4793713163064833,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0003_latent_tags_majority_vote_mortality_results.txt,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0003_latent_tags_majority_vote.log
mimic,rules,logistic_regression,/truenas/home/kenzikob/CliniCause/mimic-voters/rules.csv,44812,5150,39662,0.11492457377488173,10,0.8114717819915888,0.396074209607813,0.759651863423343,0.39865996649916247,0.80724129407417,0.39289521051451815,0.7423025435073628,0.3930635838150289,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0004_rules_mortality_results.txt,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0004_rules.log
mimic,rules,mlp,/truenas/home/kenzikob/CliniCause/mimic-voters/rules.csv,44812,5150,39662,0.11492457377488173,10,0.8218395194101317,0.40749922586571186,0.8332961392546306,0.4559359067734887,0.8141267397779252,0.40324840904526527,0.8168228469433289,0.4286708420320111,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0004_rules_mortality_results.txt,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0004_rules.log
mimic,strats,logistic_regression,/truenas/home/kenzikob/CliniCause/mimic-voters/strats.csv,44812,5150,39662,0.11492457377488173,10,0.8029422420672805,0.34879386900305387,0.778620843561705,0.42658959537572255,0.8048739479345375,0.3431629829490855,0.7666220437304775,0.4143337066069429,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0005_strats_mortality_results.txt,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0005_strats.log
mimic,strats,mlp,/truenas/home/kenzikob/CliniCause/mimic-voters/strats.csv,44812,5150,39662,0.11492457377488173,10,0.8183425622646867,0.3634704950437317,0.7837536264226735,0.43564356435643564,0.8117559673128554,0.3474213545161063,0.7751004016064257,0.4213547646383467,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0005_strats_mortality_results.txt,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0005_strats.log
mimic,tcn,logistic_regression,/truenas/home/kenzikob/CliniCause/mimic-voters/tcn.csv,44812,5150,39662,0.11492457377488173,10,0.8070553589001659,0.3218940004646584,0.7975898237000669,0.4404688463911166,0.7932065756079894,0.30084711624159516,0.7842481035252119,0.4294985250737463,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0006_tcn_mortality_results.txt,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0006_tcn.log
mimic,tcn,mlp,/truenas/home/kenzikob/CliniCause/mimic-voters/tcn.csv,44812,5150,39662,0.11492457377488173,10,0.8186559052920699,0.336898515166232,0.7833072974782415,0.4344787419918462,0.8040460008663708,0.30796318726935556,0.7710843373493976,0.42164599774520856,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0006_tcn_mortality_results.txt,/truenas/home/kenzikob/CliniCause/mimic-mortality-voters_details/0006_tcn.log
