dataset,estimator,sampling_condition,run_name,treatment,model_n,outcome_rate,treatment_rate,mean_cate,normalized_cate,cate_std,cate_min,cate_max,interval_fields_available,observed_confounders,missing_graph_candidates,identifiable_with_available_nodes,source_run_summary,source_cate_summary,source_treatment_csv,source_control_message,row_validation_status,diagnostic_availability,selection_status,admission_status,provenance_class,caveat_codes,notes,normalized_cate_selection_status
mimic,CausalForestDML,original,outputs-mimic-forest,LAT_CARDIAC_STRAIN,26845,0.12080461910970386,0.1776494691748929,0.22035603834514436,1.824069642113907,0.12217350604469368,-0.04571203149538994,0.48485641274713615,True,"Age, Gender, LAT_CHRONIC_BURDEN",,UNRESOLVED,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/global_summary.csv,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/LAT_CARDIAC_STRAIN/LAT_CARDIAC_STRAIN_cate.csv,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/control_messages_cate_estimation.csv,CROSS_RUN_ROW_MATCHED,ARCHIVED_NONPFN_DIAGNOSTICS,PRIMARY_MAIN_TEXT,PENDING_HUMAN_SELECTION,EXECUTION_SUPPORTED,NUMBERED_CONFIG_MISSING;ESTIMAND_WORDING_UNRESOLVED;ARCHIVE_COPY_PROVENANCE_PARTIAL,Full per-run summary selected over reduced manager summary; mean_cate wording requires approval.,OMIT_FROM_CHAPTER_10_MAIN_TEXT
mimic,CausalForestDML,original,outputs-mimic-forest,LAT_INFLAMMATION_SEPSIS,26845,0.12080461910970386,0.4718197057180108,0.16117863078031663,1.3342091715379587,0.03637105785636916,0.06957341540344167,0.3314315538086965,True,,,UNRESOLVED,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/global_summary.csv,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/LAT_INFLAMMATION_SEPSIS/LAT_INFLAMMATION_SEPSIS_cate.csv,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/control_messages_cate_estimation.csv,CROSS_RUN_ROW_MATCHED,ARCHIVED_NONPFN_DIAGNOSTICS,PRIMARY_MAIN_TEXT,PENDING_HUMAN_SELECTION,EXECUTION_SUPPORTED,NUMBERED_CONFIG_MISSING;ESTIMAND_WORDING_UNRESOLVED;ARCHIVE_COPY_PROVENANCE_PARTIAL,Full per-run summary selected over reduced manager summary; mean_cate wording requires approval.,OMIT_FROM_CHAPTER_10_MAIN_TEXT
mimic,CausalForestDML,original,outputs-mimic-forest,LAT_HEPATIC_COAG_DYSFUNCTION,26845,0.12080461910970386,0.2413112311417396,0.09759849060449512,0.8079036325247213,0.06540083013946897,-0.07028895772181519,0.23835147684695196,True,"LAT_INFLAMMATION_SEPSIS, LAT_SHOCK",,UNRESOLVED,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/global_summary.csv,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/LAT_HEPATIC_COAG_DYSFUNCTION/LAT_HEPATIC_COAG_DYSFUNCTION_cate.csv,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/control_messages_cate_estimation.csv,CROSS_RUN_ROW_MATCHED,ARCHIVED_NONPFN_DIAGNOSTICS,PRIMARY_MAIN_TEXT,PENDING_HUMAN_SELECTION,EXECUTION_SUPPORTED,NUMBERED_CONFIG_MISSING;ESTIMAND_WORDING_UNRESOLVED;ARCHIVE_COPY_PROVENANCE_PARTIAL,Full per-run summary selected over reduced manager summary; mean_cate wording requires approval.,OMIT_FROM_CHAPTER_10_MAIN_TEXT
mimic,CausalForestDML,original,outputs-mimic-forest,LAT_RENAL_DYSFUNCTION,26845,0.12080461910970386,0.3630843732538648,0.09129044441831921,0.7556867037957999,0.06876796494774205,-0.033749322085429106,0.23954861392953206,True,"LAT_CHRONIC_BURDEN, LAT_SHOCK",,UNRESOLVED,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/global_summary.csv,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/LAT_RENAL_DYSFUNCTION/LAT_RENAL_DYSFUNCTION_cate.csv,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/control_messages_cate_estimation.csv,CROSS_RUN_ROW_MATCHED,ARCHIVED_NONPFN_DIAGNOSTICS,PRIMARY_MAIN_TEXT,PENDING_HUMAN_SELECTION,EXECUTION_SUPPORTED,NUMBERED_CONFIG_MISSING;ESTIMAND_WORDING_UNRESOLVED;ARCHIVE_COPY_PROVENANCE_PARTIAL,Full per-run summary selected over reduced manager summary; mean_cate wording requires approval.,OMIT_FROM_CHAPTER_10_MAIN_TEXT
mimic,CausalForestDML,original,outputs-mimic-forest,LAT_GLOBAL_SEVERITY,26845,0.12080461910970386,0.7192400819519463,0.06210061818008489,0.514058308678501,0.041997466268871804,-0.12836967123207535,0.21311208482947827,True,"Age, Gender, LAT_CHRONIC_BURDEN, LAT_INFLAMMATION_SEPSIS",,UNRESOLVED,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/global_summary.csv,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/LAT_GLOBAL_SEVERITY/LAT_GLOBAL_SEVERITY_cate.csv,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/control_messages_cate_estimation.csv,CROSS_RUN_ROW_MATCHED,ARCHIVED_NONPFN_DIAGNOSTICS,PRIMARY_MAIN_TEXT,PENDING_HUMAN_SELECTION,EXECUTION_SUPPORTED,NUMBERED_CONFIG_MISSING;ESTIMAND_WORDING_UNRESOLVED;ARCHIVE_COPY_PROVENANCE_PARTIAL,Full per-run summary selected over reduced manager summary; mean_cate wording requires approval.,OMIT_FROM_CHAPTER_10_MAIN_TEXT
mimic,CausalForestDML,original,outputs-mimic-forest,LAT_RESPIRATORY_FAILURE,26845,0.12080461910970386,0.5903147699757869,0.036133320420856,0.29910545380754827,0.055604428430974566,-0.17329745755146134,0.30190415856307806,True,"Age, Gender, LAT_CHRONIC_BURDEN, LAT_GLOBAL_SEVERITY, LAT_INFLAMMATION_SEPSIS",,UNRESOLVED,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/global_summary.csv,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/LAT_RESPIRATORY_FAILURE/LAT_RESPIRATORY_FAILURE_cate.csv,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/control_messages_cate_estimation.csv,CROSS_RUN_ROW_MATCHED,ARCHIVED_NONPFN_DIAGNOSTICS,PRIMARY_MAIN_TEXT,PENDING_HUMAN_SELECTION,EXECUTION_SUPPORTED,NUMBERED_CONFIG_MISSING;ESTIMAND_WORDING_UNRESOLVED;ARCHIVE_COPY_PROVENANCE_PARTIAL,Full per-run summary selected over reduced manager summary; mean_cate wording requires approval.,OMIT_FROM_CHAPTER_10_MAIN_TEXT
mimic,CausalForestDML,original,outputs-mimic-forest,LAT_NEUROLOGIC_DYSFUNCTION,26845,0.12080461910970386,0.43389830508474575,0.034252711518043336,0.28353809457350393,0.049850503480585194,-0.057559264189764876,0.24530429118913463,True,"Age, Gender, LAT_CHRONIC_BURDEN, LAT_GLOBAL_SEVERITY, LAT_INFLAMMATION_SEPSIS",,UNRESOLVED,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/global_summary.csv,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/LAT_NEUROLOGIC_DYSFUNCTION/LAT_NEUROLOGIC_DYSFUNCTION_cate.csv,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/control_messages_cate_estimation.csv,CROSS_RUN_ROW_MATCHED,ARCHIVED_NONPFN_DIAGNOSTICS,PRIMARY_MAIN_TEXT,PENDING_HUMAN_SELECTION,EXECUTION_SUPPORTED,NUMBERED_CONFIG_MISSING;ESTIMAND_WORDING_UNRESOLVED;ARCHIVE_COPY_PROVENANCE_PARTIAL,Full per-run summary selected over reduced manager summary; mean_cate wording requires approval.,OMIT_FROM_CHAPTER_10_MAIN_TEXT
mimic,CausalForestDML,original,outputs-mimic-forest,LAT_SHOCK,26845,0.12080461910970386,0.5396163158875024,0.020994326819048455,0.17378745095817325,0.04100784865609975,-0.10905397035003395,0.20172944165247245,True,"Age, Gender, LAT_CARDIAC_STRAIN, LAT_CHRONIC_BURDEN, LAT_INFLAMMATION_SEPSIS",,UNRESOLVED,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/global_summary.csv,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/LAT_SHOCK/LAT_SHOCK_cate.csv,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/control_messages_cate_estimation.csv,CROSS_RUN_ROW_MATCHED,ARCHIVED_NONPFN_DIAGNOSTICS,PRIMARY_MAIN_TEXT,PENDING_HUMAN_SELECTION,EXECUTION_SUPPORTED,NUMBERED_CONFIG_MISSING;ESTIMAND_WORDING_UNRESOLVED;ARCHIVE_COPY_PROVENANCE_PARTIAL,Full per-run summary selected over reduced manager summary; mean_cate wording requires approval.,OMIT_FROM_CHAPTER_10_MAIN_TEXT
mimic,CausalForestDML,original,outputs-mimic-forest,LAT_METABOLIC_DERANGEMENT,26845,0.12080461910970386,0.3729186068169119,0.01974295345435545,0.16342879601670432,0.0416660885952345,-0.12174144793240521,0.25314295699599315,True,"LAT_GLOBAL_SEVERITY, LAT_RENAL_DYSFUNCTION, LAT_RESPIRATORY_FAILURE, LAT_SHOCK",,UNRESOLVED,final-results/causal-outputs/outputs-mimic-forest/run_summary.json,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/global_summary.csv,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/LAT_METABOLIC_DERANGEMENT/LAT_METABOLIC_DERANGEMENT_cate.csv,final-results/causal-outputs/outputs-mimic-forest/cate_estimation/control_messages_cate_estimation.csv,CROSS_RUN_ROW_MATCHED,ARCHIVED_NONPFN_DIAGNOSTICS,PRIMARY_MAIN_TEXT,PENDING_HUMAN_SELECTION,EXECUTION_SUPPORTED,NUMBERED_CONFIG_MISSING;ESTIMAND_WORDING_UNRESOLVED;ARCHIVE_COPY_PROVENANCE_PARTIAL,Full per-run summary selected over reduced manager summary; mean_cate wording requires approval.,OMIT_FROM_CHAPTER_10_MAIN_TEXT
mimic,CausalForestDML,outcome-downsampled,outputs-mimic-forest-downsample,LAT_CARDIAC_STRAIN,6486,0.5,0.36000616712920136,0.4207252304558952,0.8414504609117904,0.08213216526926115,0.12840072565108193,0.5490013451816802,True,"Age, Gender, LAT_CHRONIC_BURDEN",,UNRESOLVED,final-results/causal-outputs/outputs-mimic-forest-downsample/run_summary.json,final-results/causal-outputs/outputs-mimic-forest-downsample/cate_estimation/global_summary.csv,final-results/causal-outputs/outputs-mimic-forest-downsample/cate_estimation/LAT_CARDIAC_STRAIN/LAT_CARDIAC_STRAIN_cate.csv,final-results/causal-outputs/outputs-mimic-forest-downsample/cate_estimation/control_messages_cate_estimation.csv,CROSS_RUN_ROW_MATCHED,ARCHIVED_NONPFN_DIAGNOSTICS,ROBUSTNESS_APPENDIX,PENDING_HUMAN_SELECTION,EXECUTION_SUPPORTED,NUMBERED_CONFIG_MISSING;ESTIMAND_WORDING_UNRESOLVED;ARCHIVE_COPY_PROVENANCE_PARTIAL,Full per-run summary selected over reduced manager summary; mean_cate wording requires approval.,OMIT_FROM_CHAPTER_10_MAIN_TEXT
