dataset,estimator,sampling_condition,treatment,n,n_treated,n_control,n_pairs,match_rate,mean_pair_effect,std_pair_effect,normalized_pair_effect,final_allowed_distance,sufficient_pairs,observed_confounders,source_path,source_sha256,row_validation_status,admission_status,caveat_codes,selection_status
mimic,cross-run-consistent,outcome-downsampled,LAT_CARDIAC_STRAIN,6486,,,2335,1.0,0.5040685224839401,0.6005251019272476,1.0081370449678801,0,True,"Age, Gender, LAT_CHRONIC_BURDEN",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,ROBUSTNESS_APPENDIX
mimic,cross-run-consistent,outcome-downsampled,LAT_GLOBAL_SEVERITY,6486,,,1149,0.21528948847667229,0.23411662315056572,0.5723162093895737,0.46823324630113144,1,False,"Age, Gender, LAT_CHRONIC_BURDEN, LAT_INFLAMMATION_SEPSIS",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,ROBUSTNESS_APPENDIX
mimic,cross-run-consistent,outcome-downsampled,LAT_HEPATIC_COAG_DYSFUNCTION,6486,,,1939,0.8223070398642918,0.1928829293450232,0.6472382323570238,0.3857658586900464,0,True,"LAT_INFLAMMATION_SEPSIS, LAT_SHOCK",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,ROBUSTNESS_APPENDIX
mimic,cross-run-consistent,outcome-downsampled,LAT_METABOLIC_DERANGEMENT,6486,,,1974,0.6068244697202583,0.15653495440729484,0.6778782000286431,0.3130699088145897,2,True,"LAT_GLOBAL_SEVERITY, LAT_RENAL_DYSFUNCTION, LAT_RESPIRATORY_FAILURE, LAT_SHOCK",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,ROBUSTNESS_APPENDIX
mimic,cross-run-consistent,outcome-downsampled,LAT_NEUROLOGIC_DYSFUNCTION,6486,,,2010,0.5894428152492669,0.11194029850746269,0.6610147382916933,0.22388059701492538,1,True,"Age, Gender, LAT_CHRONIC_BURDEN, LAT_GLOBAL_SEVERITY, LAT_INFLAMMATION_SEPSIS",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,ROBUSTNESS_APPENDIX
mimic,cross-run-consistent,outcome-downsampled,LAT_RENAL_DYSFUNCTION,6486,,,1905,0.5910642258765125,0.247244094488189,0.6738466771255479,0.494488188976378,0,True,"LAT_CHRONIC_BURDEN, LAT_SHOCK",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,ROBUSTNESS_APPENDIX
mimic,cross-run-consistent,outcome-downsampled,LAT_RESPIRATORY_FAILURE,6486,,,1973,0.43718147573676047,0.2681196147997973,0.6429382049472443,0.5362392295995946,2,False,"Age, Gender, LAT_CHRONIC_BURDEN, LAT_GLOBAL_SEVERITY, LAT_INFLAMMATION_SEPSIS",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,ROBUSTNESS_APPENDIX
mimic,cross-run-consistent,outcome-downsampled,LAT_SHOCK,6486,,,2206,0.5154205607476635,0.1500453309156845,0.6457026953120855,0.300090661831369,2,True,"Age, Gender, LAT_CARDIAC_STRAIN, LAT_CHRONIC_BURDEN, LAT_INFLAMMATION_SEPSIS",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,ROBUSTNESS_APPENDIX
mimic,cross-run-consistent,original,LAT_CARDIAC_STRAIN,26845,,,4769,1.0,0.3447263577269868,0.5440476154384548,2.853585899839951,0,True,"Age, Gender, LAT_CHRONIC_BURDEN",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,SUPPORTING_MAIN_TEXT[CausalForestDML];SECONDARY_APPENDIX[LinearDML];EXPLORATORY_APPENDIX[CausalPFN]
mimic,cross-run-consistent,original,LAT_GLOBAL_SEVERITY,26845,,,7537,0.39035632898280503,0.07483083454955552,0.32291208495771273,0.6194368650887505,1,False,"Age, Gender, LAT_CHRONIC_BURDEN, LAT_INFLAMMATION_SEPSIS",final-results/causal-outputs/cate_cross_run_matching_table.csv,fefba211cc5773bd7cec0e68d157d02d08aea783b5f4706192760e9ac90f2509,MATCHED_ALL_LISTED_RUN_SOURCES,PENDING_HUMAN_SELECTION,MATCHING_ESTIMAND_WORDING_UNRESOLVED,SUPPORTING_MAIN_TEXT[CausalForestDML];SECONDARY_APPENDIX[LinearDML];EXPLORATORY_APPENDIX[CausalPFN]
