dataset,model,run_name,train_fraction,metric_split,loss,auroc,auprc,minrp,source_summary,source_summary_sha256,source_log,source_log_sha256,summary_log_agreement,checkpoint_selection_rule,admission_status,provenance_class,caveat_codes,notes,selection_status
mimic_iii,gru,1o10,0.500000,validation,0.401499,0.879342,0.841908,0.772544,final-results/strats-outputs/mimic_iii/gru/gru-train_frac-0.5-run-1o10/training_summary.txt,8572feceab446e14fc72a8040757f18a7fa78f7e18cf51ffd1f8a9cdbbdafd2b,final-results/strats-outputs/mimic_iii/gru/gru-train_frac-0.5-run-1o10/log.txt,8e75b2b8fd9343b8768fea3046a5b39c3f70b3a92d7cd54c6181ffe829161bfe,AGREE_WITH_TOLERANCE,auprc + auroc,ADMISSIBLE_WITH_QUALIFICATIONS,ARTIFACT_SUPPORTED,PREDICTIVE_SPLIT_MANIFEST_MISSING;CHECKPOINT_EXPORT_MAPPING_MISSING,Metrics copied from final training summary; final log values compared numerically.,SUPPORTING_APPENDIX
mimic_iii,gru,1o10,0.500000,test,0.385757,0.881119,0.839559,0.770421,final-results/strats-outputs/mimic_iii/gru/gru-train_frac-0.5-run-1o10/training_summary.txt,8572feceab446e14fc72a8040757f18a7fa78f7e18cf51ffd1f8a9cdbbdafd2b,final-results/strats-outputs/mimic_iii/gru/gru-train_frac-0.5-run-1o10/log.txt,8e75b2b8fd9343b8768fea3046a5b39c3f70b3a92d7cd54c6181ffe829161bfe,AGREE_WITH_TOLERANCE,auprc + auroc,ADMISSIBLE_WITH_QUALIFICATIONS,ARTIFACT_SUPPORTED,PREDICTIVE_SPLIT_MANIFEST_MISSING;CHECKPOINT_EXPORT_MAPPING_MISSING,Metrics copied from final training summary; final log values compared numerically.,PRIMARY_MAIN_TEXT
mimic_iii,grud,1o10,0.500000,validation,0.416958,0.886587,0.847162,0.778356,final-results/strats-outputs/mimic_iii/grud/grud-train_frac-0.5-run-1o10/training_summary.txt,b179fcb97a8839c6f65832961b8c28e35c1fc5a95215330639fc9357506dab40,final-results/strats-outputs/mimic_iii/grud/grud-train_frac-0.5-run-1o10/log.txt,b60764d946c99360fb0a151415f926353cfcf48cbc84863d27671382d6ea589a,AGREE_WITH_TOLERANCE,auprc + auroc,ADMISSIBLE_WITH_QUALIFICATIONS,ARTIFACT_SUPPORTED,PREDICTIVE_SPLIT_MANIFEST_MISSING;CHECKPOINT_EXPORT_MAPPING_MISSING,Metrics copied from final training summary; final log values compared numerically.,SUPPORTING_APPENDIX
mimic_iii,grud,1o10,0.500000,test,0.404448,0.884277,0.841273,0.772533,final-results/strats-outputs/mimic_iii/grud/grud-train_frac-0.5-run-1o10/training_summary.txt,b179fcb97a8839c6f65832961b8c28e35c1fc5a95215330639fc9357506dab40,final-results/strats-outputs/mimic_iii/grud/grud-train_frac-0.5-run-1o10/log.txt,b60764d946c99360fb0a151415f926353cfcf48cbc84863d27671382d6ea589a,AGREE_WITH_TOLERANCE,auprc + auroc,ADMISSIBLE_WITH_QUALIFICATIONS,ARTIFACT_SUPPORTED,PREDICTIVE_SPLIT_MANIFEST_MISSING;CHECKPOINT_EXPORT_MAPPING_MISSING,Metrics copied from final training summary; final log values compared numerically.,PRIMARY_MAIN_TEXT
mimic_iii,sand,1o10,0.500000,validation,0.411981,0.883638,0.843811,0.775402,final-results/strats-outputs/mimic_iii/sand/sand-train_frac-0.5-run-1o10/training_summary.txt,f734640dc80e69f4129b47c6955cc9a5e8da03634b6c8d1a275c52aa460e1eeb,final-results/strats-outputs/mimic_iii/sand/sand-train_frac-0.5-run-1o10/log.txt,4c1afd3a7ad7d5a8d6ed23b8bff20ca7497326d49ffb1a06583a985708abd0a1,AGREE_WITH_TOLERANCE,auprc + auroc,ADMISSIBLE_WITH_QUALIFICATIONS,ARTIFACT_SUPPORTED,PREDICTIVE_SPLIT_MANIFEST_MISSING;CHECKPOINT_EXPORT_MAPPING_MISSING,Metrics copied from final training summary; final log values compared numerically.,SUPPORTING_APPENDIX
mimic_iii,sand,1o10,0.500000,test,0.408731,0.880310,0.835576,0.767466,final-results/strats-outputs/mimic_iii/sand/sand-train_frac-0.5-run-1o10/training_summary.txt,f734640dc80e69f4129b47c6955cc9a5e8da03634b6c8d1a275c52aa460e1eeb,final-results/strats-outputs/mimic_iii/sand/sand-train_frac-0.5-run-1o10/log.txt,4c1afd3a7ad7d5a8d6ed23b8bff20ca7497326d49ffb1a06583a985708abd0a1,AGREE_WITH_TOLERANCE,auprc + auroc,ADMISSIBLE_WITH_QUALIFICATIONS,ARTIFACT_SUPPORTED,PREDICTIVE_SPLIT_MANIFEST_MISSING;CHECKPOINT_EXPORT_MAPPING_MISSING,Metrics copied from final training summary; final log values compared numerically.,PRIMARY_MAIN_TEXT
mimic_iii,strats,1o10,0.500000,validation,0.369332,0.901256,0.869351,0.794055,final-results/strats-outputs/mimic_iii/strats/finetune_strats/training_summary.txt,257edc48f58680d835f264af6138a866b7e1e93e0f9ee37045a9feae3537f340,final-results/strats-outputs/mimic_iii/strats/finetune_strats/log.txt,7cff1ad75984d3bdfd6c308888820acefb8a24e96ac46a77c6408f6ca3a26cde,AGREE_WITH_TOLERANCE,auprc + auroc,ADMISSIBLE_WITH_QUALIFICATIONS,ARTIFACT_SUPPORTED,PREDICTIVE_SPLIT_MANIFEST_MISSING;CHECKPOINT_EXPORT_MAPPING_MISSING,Metrics copied from final training summary; final log values compared numerically.,SUPPORTING_APPENDIX
mimic_iii,strats,1o10,0.500000,test,0.348136,0.905411,0.869417,0.795399,final-results/strats-outputs/mimic_iii/strats/finetune_strats/training_summary.txt,257edc48f58680d835f264af6138a866b7e1e93e0f9ee37045a9feae3537f340,final-results/strats-outputs/mimic_iii/strats/finetune_strats/log.txt,7cff1ad75984d3bdfd6c308888820acefb8a24e96ac46a77c6408f6ca3a26cde,AGREE_WITH_TOLERANCE,auprc + auroc,ADMISSIBLE_WITH_QUALIFICATIONS,ARTIFACT_SUPPORTED,PREDICTIVE_SPLIT_MANIFEST_MISSING;CHECKPOINT_EXPORT_MAPPING_MISSING,Metrics copied from final training summary; final log values compared numerically.,PRIMARY_MAIN_TEXT
mimic_iii,tcn,1o10,0.500000,validation,0.409463,0.871752,0.836976,0.767816,final-results/strats-outputs/mimic_iii/tcn/tcn-train_frac-0.5-run-1o10/training_summary.txt,5fefddcae321a88ca83dcfd3b8feb464a9d08d64fc01ebc1f9715fd0f1ff687c,final-results/strats-outputs/mimic_iii/tcn/tcn-train_frac-0.5-run-1o10/log.txt,885505c03ea0d118cda60bd79ad0047c38eb738a5339127d3eec71660a391cbf,AGREE_WITH_TOLERANCE,auprc + auroc,ADMISSIBLE_WITH_QUALIFICATIONS,ARTIFACT_SUPPORTED,PREDICTIVE_SPLIT_MANIFEST_MISSING;CHECKPOINT_EXPORT_MAPPING_MISSING,Metrics copied from final training summary; final log values compared numerically.,SUPPORTING_APPENDIX
mimic_iii,tcn,1o10,0.500000,test,0.414456,0.866914,0.822642,0.757798,final-results/strats-outputs/mimic_iii/tcn/tcn-train_frac-0.5-run-1o10/training_summary.txt,5fefddcae321a88ca83dcfd3b8feb464a9d08d64fc01ebc1f9715fd0f1ff687c,final-results/strats-outputs/mimic_iii/tcn/tcn-train_frac-0.5-run-1o10/log.txt,885505c03ea0d118cda60bd79ad0047c38eb738a5339127d3eec71660a391cbf,AGREE_WITH_TOLERANCE,auprc + auroc,ADMISSIBLE_WITH_QUALIFICATIONS,ARTIFACT_SUPPORTED,PREDICTIVE_SPLIT_MANIFEST_MISSING;CHECKPOINT_EXPORT_MAPPING_MISSING,Metrics copied from final training summary; final log values compared numerically.,PRIMARY_MAIN_TEXT
