dataset,estimator,sampling_condition,treatment,analysis_status,diagnostic_name,diagnostic_value,diagnostic_lower,diagnostic_upper,diagnostic_source,estimator_native,saved_training_direct,recomputed,fallback,benchmark_variable,benchmark_status,residual_status,contour_path,contour_sha256,warnings,source_path,row_validation_status,selection_status,admission_status,caveat_codes,notes
mimic,CausalForestDML,original,LAT_CARDIAC_STRAIN,PARTIAL,benchmark_summary,0.24699020385742188,0.17377370645244683,0.27001375481782114,saved_training_direct;saved_training_direct;custom_reconstructed_from_residual_params,False,True,True,False,Age,unimplemented_by_design,saved_training_direct,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_CARDIAC_STRAIN/LAT_CARDIAC_STRAIN_sensitivity_contour.png,ac63b26bf7f66ba88ec99ff858e2eedba129919fd5b7f11954348ff660e31687,Stage 2 real benchmark extraction is currently unimplemented by design in this analysis pipeline for econml in thesis310; this is not a loaded-artifact extraction failure. | Contour plot used a custom reconstructed matplotlib grid from sensitivity parameters with source 'custom_reconstructed_from_residual_params'.,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/benchmark_summary.csv,BENCHMARK_AND_CONTROL_MESSAGE_SCHEMA_VALIDATED,SUPPORTING_APPENDIX,PENDING_HUMAN_SELECTION,SENSITIVITY_SOURCE_CLASSIFICATION_RECORDED;REAL_BENCHMARK_MAY_BE_UNIMPLEMENTED,Control-message source: final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/control_messages_analyze_cate_results.csv; numerical values copied without recomputation.
mimic,CausalForestDML,original,LAT_GLOBAL_SEVERITY,PARTIAL,benchmark_summary,0.04920196533203125,-0.0006821493632946166,0.09892454397874587,saved_training_direct;saved_training_direct;custom_reconstructed_from_residual_params,False,True,True,False,LAT_INFLAMMATION_SEPSIS,unimplemented_by_design,saved_training_direct,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_GLOBAL_SEVERITY/LAT_GLOBAL_SEVERITY_sensitivity_contour.png,b187d391ecb64948d85aee2081f2c7048a922c3352284ef97c987a72429f0007,Stage 2 real benchmark extraction is currently unimplemented by design in this analysis pipeline for econml in thesis310; this is not a loaded-artifact extraction failure. | Contour plot used a custom reconstructed matplotlib grid from sensitivity parameters with source 'custom_reconstructed_from_residual_params'.,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/benchmark_summary.csv,BENCHMARK_AND_CONTROL_MESSAGE_SCHEMA_VALIDATED,SUPPORTING_APPENDIX,PENDING_HUMAN_SELECTION,SENSITIVITY_SOURCE_CLASSIFICATION_RECORDED;REAL_BENCHMARK_MAY_BE_UNIMPLEMENTED,Control-message source: final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/control_messages_analyze_cate_results.csv; numerical values copied without recomputation.
mimic,CausalForestDML,original,LAT_HEPATIC_COAG_DYSFUNCTION,PARTIAL,benchmark_summary,0.12412166595458984,0.059344123972981305,0.1528905733156602,saved_training_direct;saved_training_direct;custom_reconstructed_from_residual_params,False,True,True,False,LAT_INFLAMMATION_SEPSIS,unimplemented_by_design,saved_training_direct,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_HEPATIC_COAG_DYSFUNCTION/LAT_HEPATIC_COAG_DYSFUNCTION_sensitivity_contour.png,86d321935a0abd0677d9e6346755a4211b8c2dd2f8a48d0c61cf509d4032917c,Stage 2 real benchmark extraction is currently unimplemented by design in this analysis pipeline for econml in thesis310; this is not a loaded-artifact extraction failure. | Contour plot used a custom reconstructed matplotlib grid from sensitivity parameters with source 'custom_reconstructed_from_residual_params'.,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/benchmark_summary.csv,BENCHMARK_AND_CONTROL_MESSAGE_SCHEMA_VALIDATED,SUPPORTING_APPENDIX,PENDING_HUMAN_SELECTION,SENSITIVITY_SOURCE_CLASSIFICATION_RECORDED;REAL_BENCHMARK_MAY_BE_UNIMPLEMENTED,Control-message source: final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/control_messages_analyze_cate_results.csv; numerical values copied without recomputation.
mimic,CausalForestDML,original,LAT_INFLAMMATION_SEPSIS,FAILED,benchmark_summary,,,,,False,False,False,False,,,,,,Loaded estimator residuals_ unavailable: ValueError: Estimator residuals_ returned W=None | Used compatibility refit with cache_values=True to test direct sensitivity APIs in thesis310 and recover residual-space diagnostics when needed. | ValueError: Estimator residuals_ returned W=None,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/benchmark_summary.csv,BENCHMARK_AND_CONTROL_MESSAGE_SCHEMA_VALIDATED,SUPPORTING_APPENDIX,PENDING_HUMAN_SELECTION,SENSITIVITY_SOURCE_CLASSIFICATION_RECORDED;REAL_BENCHMARK_MAY_BE_UNIMPLEMENTED,Control-message source: final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/control_messages_analyze_cate_results.csv; numerical values copied without recomputation.
mimic,CausalForestDML,original,LAT_METABOLIC_DERANGEMENT,PARTIAL,benchmark_summary,0.009970664978027344,-0.03897188055411357,0.08106964998438565,saved_training_direct;saved_training_direct;custom_reconstructed_from_residual_params,False,True,True,False,LAT_RESPIRATORY_FAILURE,unimplemented_by_design,saved_training_direct,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_METABOLIC_DERANGEMENT/LAT_METABOLIC_DERANGEMENT_sensitivity_contour.png,954ee8f4ca04c1e4e01560154784b7e551ab4b5ed722ab283b2da9cbcd368d25,Stage 2 real benchmark extraction is currently unimplemented by design in this analysis pipeline for econml in thesis310; this is not a loaded-artifact extraction failure. | Contour plot used a custom reconstructed matplotlib grid from sensitivity parameters with source 'custom_reconstructed_from_residual_params'.,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/benchmark_summary.csv,BENCHMARK_AND_CONTROL_MESSAGE_SCHEMA_VALIDATED,SUPPORTING_APPENDIX,PENDING_HUMAN_SELECTION,SENSITIVITY_SOURCE_CLASSIFICATION_RECORDED;REAL_BENCHMARK_MAY_BE_UNIMPLEMENTED,Control-message source: final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/control_messages_analyze_cate_results.csv; numerical values copied without recomputation.
mimic,CausalForestDML,original,LAT_NEUROLOGIC_DYSFUNCTION,PARTIAL,benchmark_summary,0.03519916534423828,-0.0121474267361347,0.08890217031100123,saved_training_direct;saved_training_direct;custom_reconstructed_from_residual_params,False,True,True,False,LAT_GLOBAL_SEVERITY,unimplemented_by_design,saved_training_direct,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_NEUROLOGIC_DYSFUNCTION/LAT_NEUROLOGIC_DYSFUNCTION_sensitivity_contour.png,233962975ac1e810fdd481c6d63c092cc65bd8037faa566a6e031ffa720c30c6,Stage 2 real benchmark extraction is currently unimplemented by design in this analysis pipeline for econml in thesis310; this is not a loaded-artifact extraction failure. | Contour plot used a custom reconstructed matplotlib grid from sensitivity parameters with source 'custom_reconstructed_from_residual_params'.,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/benchmark_summary.csv,BENCHMARK_AND_CONTROL_MESSAGE_SCHEMA_VALIDATED,SUPPORTING_APPENDIX,PENDING_HUMAN_SELECTION,SENSITIVITY_SOURCE_CLASSIFICATION_RECORDED;REAL_BENCHMARK_MAY_BE_UNIMPLEMENTED,Control-message source: final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/control_messages_analyze_cate_results.csv; numerical values copied without recomputation.
mimic,CausalForestDML,original,LAT_RENAL_DYSFUNCTION,PARTIAL,benchmark_summary,0.11994552612304688,0.05371042421161072,0.14249507189785168,saved_training_direct;saved_training_direct;custom_reconstructed_from_residual_params,False,True,True,False,LAT_SHOCK,unimplemented_by_design,saved_training_direct,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_RENAL_DYSFUNCTION/LAT_RENAL_DYSFUNCTION_sensitivity_contour.png,dd574d6289d73746de654e8f88278d028eaa482571d0c0dd00e2ffcb45496dcd,Stage 2 real benchmark extraction is currently unimplemented by design in this analysis pipeline for econml in thesis310; this is not a loaded-artifact extraction failure. | Contour plot used a custom reconstructed matplotlib grid from sensitivity parameters with source 'custom_reconstructed_from_residual_params'.,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/benchmark_summary.csv,BENCHMARK_AND_CONTROL_MESSAGE_SCHEMA_VALIDATED,SUPPORTING_APPENDIX,PENDING_HUMAN_SELECTION,SENSITIVITY_SOURCE_CLASSIFICATION_RECORDED;REAL_BENCHMARK_MAY_BE_UNIMPLEMENTED,Control-message source: final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/control_messages_analyze_cate_results.csv; numerical values copied without recomputation.
mimic,CausalForestDML,original,LAT_RESPIRATORY_FAILURE,PARTIAL,benchmark_summary,0.02617359161376953,-0.023518558561068846,0.09646859132548591,saved_training_direct;saved_training_direct;custom_reconstructed_from_residual_params,False,True,True,False,LAT_GLOBAL_SEVERITY,unimplemented_by_design,saved_training_direct,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_RESPIRATORY_FAILURE/LAT_RESPIRATORY_FAILURE_sensitivity_contour.png,f0bb61ec6b7b0c37ece48be3e3d0470322512193b77e6ebb8f44e957ccf6625a,Stage 2 real benchmark extraction is currently unimplemented by design in this analysis pipeline for econml in thesis310; this is not a loaded-artifact extraction failure. | Contour plot used a custom reconstructed matplotlib grid from sensitivity parameters with source 'custom_reconstructed_from_residual_params'.,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/benchmark_summary.csv,BENCHMARK_AND_CONTROL_MESSAGE_SCHEMA_VALIDATED,SUPPORTING_APPENDIX,PENDING_HUMAN_SELECTION,SENSITIVITY_SOURCE_CLASSIFICATION_RECORDED;REAL_BENCHMARK_MAY_BE_UNIMPLEMENTED,Control-message source: final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/control_messages_analyze_cate_results.csv; numerical values copied without recomputation.
mimic,CausalForestDML,original,LAT_SHOCK,PARTIAL,benchmark_summary,0.017325401306152344,-0.026659025617024955,0.07205271623403411,saved_training_direct;saved_training_direct;custom_reconstructed_from_residual_params,False,True,True,False,LAT_INFLAMMATION_SEPSIS,unimplemented_by_design,saved_training_direct,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/LAT_SHOCK/LAT_SHOCK_sensitivity_contour.png,3a70761b411ae6eb6ec34d8fa4e752cbc2d2d2a8f2bca6b77f49c60d213cfb80,Stage 2 real benchmark extraction is currently unimplemented by design in this analysis pipeline for econml in thesis310; this is not a loaded-artifact extraction failure. | Contour plot used a custom reconstructed matplotlib grid from sensitivity parameters with source 'custom_reconstructed_from_residual_params'.,final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/benchmark_summary.csv,BENCHMARK_AND_CONTROL_MESSAGE_SCHEMA_VALIDATED,SUPPORTING_APPENDIX,PENDING_HUMAN_SELECTION,SENSITIVITY_SOURCE_CLASSIFICATION_RECORDED;REAL_BENCHMARK_MAY_BE_UNIMPLEMENTED,Control-message source: final-results/causal-outputs/outputs-mimic-forest/analyze_cate_results/control_messages_analyze_cate_results.csv; numerical values copied without recomputation.
mimic,CausalForestDML,outcome-downsampled,LAT_CARDIAC_STRAIN,PARTIAL,benchmark_summary,0.3116493225097656,0.3232872433320194,0.47710996218093105,saved_training_direct;saved_training_direct;custom_reconstructed_from_residual_params,False,True,True,False,Age,unimplemented_by_design,saved_training_direct,final-results/causal-outputs/outputs-mimic-forest-downsample/analyze_cate_results/LAT_CARDIAC_STRAIN/LAT_CARDIAC_STRAIN_sensitivity_contour.png,f841d4856db605a9b8fb4bba7613b6b07d2d23c116d63a3d10dc5542f4d6a0c0,Stage 2 real benchmark extraction is currently unimplemented by design in this analysis pipeline for econml in thesis310; this is not a loaded-artifact extraction failure. | Contour plot used a custom reconstructed matplotlib grid from sensitivity parameters with source 'custom_reconstructed_from_residual_params'.,final-results/causal-outputs/outputs-mimic-forest-downsample/analyze_cate_results/benchmark_summary.csv,BENCHMARK_AND_CONTROL_MESSAGE_SCHEMA_VALIDATED,ROBUSTNESS_APPENDIX,PENDING_HUMAN_SELECTION,SENSITIVITY_SOURCE_CLASSIFICATION_RECORDED;REAL_BENCHMARK_MAY_BE_UNIMPLEMENTED,Control-message source: final-results/causal-outputs/outputs-mimic-forest-downsample/analyze_cate_results/control_messages_analyze_cate_results.csv; numerical values copied without recomputation.
